rang,franska,ordklass,genus,svenska,mening_franska,mening_svenska,bonusord,notering
571,prénom,substantiv,m,förnamn,"Kalle, c'est un prénom suédois.",Kalle är ett svenskt förnamn.,,"pré + nom = för-namn, genomskinligt"
572,façon,substantiv,f,sätt,"De toute façon, on y va !",Vi åker i alla fall!,,de toute façon = hur som helst – diskursguld
573,moyen,substantiv,m,"sätt, medel",Il y a un moyen plus simple.,Det finns ett enklare sätt.,,au moyen de = med hjälp av
574,pareil / pareille,adjektiv,,likadan,C'est pareil en Suède.,Det är likadant i Sverige.,,C'est pareil ! = Samma sak!
575,plupart,substantiv,f,de flesta,La plupart des gens sont sympas.,De flesta människor är trevliga.,,la plupart des + plural; åsikts-öarnas nyckelord
576,selon,preposition,,enligt,"Selon moi, c'est possible.",Enligt mig är det möjligt.,,selon la météo = enligt prognosen
577,grave,adjektiv,,allvarlig,C'est pas grave !,Ingen fara! / Det gör inget!,,Frankrikes mest lugnande fras; talspråk: grave = totalt (Grave ! = Verkligen!)
578,sérieux / sérieuse,adjektiv,,"allvarlig, seriös",Sérieux ?,Allvarligt?,,gratisord! Sérieusement = allvarligt talat
579,libre,adjektiv,,"ledig, fri",Tu es libre ce soir ?,Är du ledig ikväll?,,liberté-familjen; libre service = självbetjäning
580,occupé / occupée,adjektiv,,upptagen,"Désolé, je suis occupé.","Förlåt, jag är upptagen.",,nästan gratis (ockuperad); C'est occupé = det är upptaget (toaletten!)
581,génial / géniale,adjektiv,,"toppen, genialt",C'est génial !,Det är toppen!,,gratisord! entusiasm-ordet nr 1
582,parfait / parfaite,adjektiv,,perfekt,C'est parfait !,Det är perfekt!,,gratisord! kyparens favoritsvar
583,incroyable,adjektiv,,otrolig,C'est incroyable !,Det är otroligt!,,in + croire + able – tre delar du kan!
584,magnifique,adjektiv,,"magnifik, underbar",La vue est magnifique !,Utsikten är magnifik!,,gratisord!
585,excellent / excellente,adjektiv,,utmärkt,Excellent choix !,Utmärkt val!,,gratisord!
586,terrible,adjektiv,,hemsk; grym,Pas terrible...,Inte så bra...,,VARNING: pas terrible = inte så bra; c'est terrible = hemskt ELLER grymt bra beroende på ton!
587,horrible,adjektiv,,hemsk,Le café est horrible ici.,Kaffet är hemskt här.,,gratisord! nödrop på fel café
588,bizarre,adjektiv,,konstig,"C'est bizarre, non ?","Det är konstigt, eller hur?",,gratisord (bisarr)!
589,fou / folle,adjektiv,,galen,C'est fou !,Det är galet!,,C'est fou ! = vanligaste förvåningen; fou de = galen i
590,nul / nulle,adjektiv,,"kass, värdelös","Je suis nul en géographie... non, je rigole !","Jag är kass på geografi... nej, jag skojar!","rigoler = skoja, skratta (talspråk)",être nul en = vara kass på; C'est nul ! = det suger
591,normal / normale,adjektiv,,normal,"C'est normal, tu commences !","Det är normalt, du har ju nyss börjat!",,gratisord! C'est normal = det är helt naturligt
592,calme,adjektiv,,lugn,Kalle est calme ce soir.,Kalle är lugn ikväll.,,gratisord! Du calme ! = Ta det lugnt!
593,tranquille,adjektiv,,lugn,C'est un endroit tranquille.,Det är ett lugnt ställe.,,Tranquille ! = Lugnt!/Ingen stress (talspråk)
594,nécessaire,adjektiv,,nödvändig,C'est vraiment nécessaire ?,Är det verkligen nödvändigt?,,gratisord (necessary)!
595,impossible,adjektiv,,omöjlig,Impossible n'est pas français !,Omöjligt är inte franska!,,Napoleons ord – ditt projektmotto; gratisord!
596,entre,preposition,,mellan,Entre nous...,Oss emellan...,,entre toi et moi = mellan dig och mig
597,sous,preposition,,under,C'est sous la table.,Det ligger under bordet.,,föräldrarnas vanligaste upptäckt
598,contre,preposition,,mot,Je suis contre.,Jag är emot.,,PAR CONTRE = däremot – diskursguld!
599,vers,preposition,,mot; vid (tid),On arrive vers midi.,Vi kommer vid tolvtiden.,,vers + klockslag = ungefär vid
600,jusqu'à,preposition,,ända till,Jusqu'à quand ?,Till när? / Hur länge?,,jusqu'ici = hittills; 600 ord hittills!
601,sauf,preposition,,utom,"Tout, sauf le café froid !","Allt, utom kallt kaffe!",,
602,grâce à,uttryck,,tack vare,"Grâce à ma mémoire, c'est facile !",Tack vare mitt minne är det lätt!,,grâce = nåd/tack; motsatsen kommer på nästa rad
603,retard (en retard),substantiv,m,försening (försenad),"Désolé, je suis en retard !","Förlåt, jag är sen!",,à l'heure = i tid; le train a du retard = tåget är försenat
604,à cause de,uttryck,,på grund av,On est en retard à cause du bus.,Vi är sena på grund av bussen.,,negativt orsakspar med grâce à (positivt)
605,malgré,preposition,,trots,"Malgré la pluie, on sort !",Trots regnet går vi ut!,la pluie (f) = regn (av pleuvoir!),mal + gré = mot ens vilja
606,journée,substantiv,f,dag(en),Bonne journée !,Ha en bra dag!,,"jour räknar, journée upplevs; sägs vid varje avsked innan kväll"
607,soirée,substantiv,f,kväll(en); fest,Bonne soirée !,Ha en trevlig kväll!,,"une soirée = även en fest; paret komplett: jour/journée, an/année, soir/soirée"
608,pause,substantiv,f,paus,On fait une pause ?,Ska vi ta en paus?,,GRATIS – exakt samma ord!
609,passé,substantiv,m,"dåtid, det förflutna","Le passé, c'est le passé.",Det som varit har varit.,,gratisord! passé composé bor här
610,présent,substantiv,m,nutid; gåva,Le présent est un cadeau.,Nuet är en gåva.,,dubbelbetydelsen funkar på franska med: présent = nutid OCH (formell) present!
611,époque,substantiv,f,"tid, epok","À l'époque, c'était différent.",På den tiden var det annorlunda.,,gratisord (epok)! berättarfrasen
612,siècle,substantiv,m,århundrade,C'est le siècle de l'IA.,Det är AI:ns århundrade.,,podd-material; au 21e siècle = på 2000-talet
613,milieu,substantiv,m,mitt(en),Au milieu de la nuit...,Mitt i natten...,,VARNING: milieu = mitten; svenskans miljö = environnement!
614,bout,substantiv,m,"ände, slut",C'est au bout de la rue.,Det ligger i slutet av gatan.,,au bout de deux jours = efter två dagar
615,suite,substantiv,f,fortsättning,La suite demain !,Fortsättning imorgon!,,tout de suite kan du; la suite = det som följer
616,nombre,substantiv,m,antal,Un grand nombre de mots !,Ett stort antal ord!,,"trion komplett: nombre (antal), numéro (nummer), chiffre (siffra)"
617,qualité,substantiv,f,kvalitet,La qualité est super.,Kvaliteten är toppen.,,gratisord!
618,rythme,substantiv,m,"rytm, takt","À ce rythme, c'est possible !",I den här takten är det möjligt!,,gratisord! maskulint (-ème/-me-grekiska)
619,chacun / chacune,pronomen,,var och en,Chacun son truc !,Var och en sin grej!,,chacun ses goûts = var och en sin smak
620,vue,substantiv,f,utsikt; syn,La vue est belle d'ici.,Utsikten är fin härifrån.,,point de vue = synvinkel; vues = visningar (rang 488!)
621,vêtements,substantiv,m,kläder,Où sont les vêtements de Kalle ?,Var är Kalles kläder?,,av verbet vêtir; oftast plural
622,chemise,substantiv,f,skjorta,"Une chemise blanche, simple.","En vit skjorta, enkelt.",,chemise = även mapp (dator!)
623,pantalon,substantiv,m,byxor,Le pantalon est trop petit.,Byxorna är för små.,,SINGULAR på franska: un pantalon = ett par byxor!
624,robe,substantiv,f,klänning,Ta robe est très belle !,Din klänning är jättefin!,,garde-robe = garderob – svenskt lån härifrån!
625,veste,substantiv,f,"jacka, kavaj",Je prends ma veste.,Jag tar min jacka.,,FALSK VÄN: veste = jacka; väst = gilet!
626,manteau,substantiv,m,"rock, kappa",Un manteau pour l'hiver suédois !,En rock för den svenska vintern!,,-eau maskulint
627,chapeau,substantiv,m,hatt,Chapeau !,Snyggt jobbat! (Hatten av!),,idiomguld – beröm med ett ord; -eau maskulint
628,chaussures,substantiv,f,skor,J'aime tes chaussures !,Snygga skor!,,chaussettes = strumpor (nästan samma ord!)
629,lunettes,substantiv,f,glasögon,Où sont mes lunettes ?,Var är mina glasögon?,,ordagrant SMÅ MÅNAR (lune)!; lunettes de soleil = solglasögon
630,taille,substantiv,f,storlek; midja,Vous avez ma taille ?,Har ni min storlek?,,shoppingfrasen; Quelle taille ? = Vilken storlek?
631,visage,substantiv,m,ansikte,Kalle a un petit visage tout rond.,Kalle har ett litet alldeles runt ansikte.,rond / ronde = rund,"-age maskulint, regeln håller"
632,doigt,substantiv,m,finger,Kalle prend mon doigt.,Kalle greppar mitt finger.,,doigts de pied = tår (fotfingrar!); gt tyst [doa]
633,genou,substantiv,m,knä,J'ai mal au genou.,Jag har ont i knät.,,plural: genoux; sur les genoux = i knät
634,peau,substantiv,f,hud,Kalle a la peau douce.,Kalle har len hud.,"doux / douce = mjuk, len",-EAU MEN FEMININT: l'eau och la peau – de två rebellerna!
635,cou,substantiv,m,"hals, nacke",J'ai mal au cou.,Jag har ont i nacken.,,cou (hals) vs coup (slag) vs coût (kostnad) – samma ljud [ko]!
636,classe,substantiv,f,klass,C'est la classe !,Vad stiligt!,,gratisord! la classe ! = idiom för stil/klass
637,cours,substantiv,m,"kurs, lektion",Je fais un cours en ligne.,Jag gör en onlinekurs.,"en ligne = online, på nätet",gratisord (kurs)! sant dessutom
638,leçon,substantiv,f,"lektion, läxa",La leçon du jour : cent mots.,Dagens lektion: hundra ord.,,gratisord (lektion)!
639,devoirs,substantiv,m,läxor,Les devoirs d'abord !,Läxorna först!,,devoir = måste → les devoirs = det man måste göra
640,examen,substantiv,m,"prov, tentamen",L'examen final : parler avec un Français !,Slutprovet: prata med en fransman!,,gratisord (examen)! dag 30-testet
641,note,substantiv,f,betyg; anteckning,Bonne note !,Bra betyg!,,gratisord! prendre des notes = anteckna
642,professeur / prof,substantiv,m,lärare,"Mon prof, c'est une IA !",Min lärare är en AI!,,gratisord! alla säger prof; sant dessutom
643,élève,substantiv,m/f,elev,L'élève apprend vite !,Eleven lär sig snabbt!,,SVENSKANS ELEV ÄR FRANSKA – helt gratis; av élever = uppfostra/höja
644,maths,substantiv,f,matte,"Les maths, c'est facile pour moi.",Matte är lätt för mig.,,gratisord! les mathématiques; sant för dig
645,géographie / géo,substantiv,f,geografi,"La géo, c'est mon truc !",Geografi är min grej!,,GRATIS – och bokstavligen din sajt
646,science,substantiv,f,vetenskap,La science dit oui !,Vetenskapen säger ja!,,gratisord! les sciences = naturvetenskap
647,université,substantiv,f,universitet,Elle étudie à l'université.,Hon pluggar på universitetet.,,gratisord! talspråk: la fac
648,diplôme,substantiv,m,"examen, diplom",Pas besoin de diplôme pour ça !,Ingen examen behövs för det!,,gratisord! ^ = s: diplom(a)
649,bibliothèque,substantiv,f,bibliotek,La bibliothèque est ouverte ?,Är biblioteket öppet?,,gratisord – exakt samma!
650,librairie,substantiv,f,bokhandel,Mes livres sont à la librairie ?,Finns mina böcker i bokhandeln?,,"FALSK VÄN-KLASSIKERN: librairie = bokhandel, library = bibliothèque!"
651,machine,substantiv,f,maskin,La machine apprend vite... trop vite ?,Maskinen lär sig snabbt... för snabbt?,,GRATIS! machine learning-ön öppnad
652,technologie,substantiv,f,teknologi,La technologie change tout.,Teknologin förändrar allt.,,gratisord! la tech = talspråk
653,système,substantiv,m,system,Le système marche bien.,Systemet funkar bra.,,"gratisord! grekiska -ème = MASKULINT trots -e: système, problème, thème – palatsregel!"
654,risque,substantiv,m,risk,Il y a des risques avec l'IA.,Det finns risker med AI.,,GRATIS – och din poddtes; risquer = riskera
655,danger,substantiv,m,fara,Pas de danger ici.,Ingen fara här.,,gratisord (danger)!
656,dangereux / dangereuse,adjektiv,,farlig,C'est dangereux ?,Är det farligt?,,danger + -eux (adjektivfabriken)
657,sécurité,substantiv,f,säkerhet,La sécurité d'abord !,Säkerheten först!,,nästan gratis (security); en sécurité = i säkerhet
658,contrôler,verb,,att kontrollera,On peut contrôler ça ?,Kan man kontrollera det?,,gratisord – och AI-säkerhetens kärnfråga
659,contrôle,substantiv,m,kontroll,Tout est sous contrôle !,Allt är under kontroll!,,gratisord! ^ = s: kontroll
660,développer,verb,,att utveckla,Ils développent trop vite.,De utvecklar för snabbt.,,gratisord (developpa)!
661,développement,substantiv,m,utveckling,Le développement de l'IA va vite.,AI-utvecklingen går fort.,,din artikel i ett ord
662,société,substantiv,f,samhälle; bolag,La société n'est pas prête.,Samhället är inte redo.,,din Aftonbladet-tes på franska! société = samhälle OCH företag
663,gouvernement,substantiv,m,regering,Le gouvernement doit décider.,Regeringen måste bestämma.,,gratisord (government)!
664,politique,substantiv,f,politik,"La politique, c'est compliqué.",Politik är komplicerat.,compliqué = komplicerad – gratisord!,gratisord! un politique = en politiker
665,loi,substantiv,f,lag,C'est la loi !,Det är lag!,,la loi de l'IA = AI-lagstiftning
666,droit,substantiv,m,rätt(ighet); juridik,C'est ton droit !,Det är din rättighet!,,"trippelordet: droit = rak (279), droite = höger (277), le droit = rätten!"
667,économie,substantiv,f,ekonomi,L'économie va mieux.,Ekonomin går bättre.,,gratisord! économiser = spara
668,énergie,substantiv,f,energi,Kalle a de l'énergie !,Kalle har energi!,,gratisord!
669,environnement,substantiv,m,miljö,C'est bon pour l'environnement.,Det är bra för miljön.,,"environment; minns: milieu = mitten, INTE miljö"
670,climat,substantiv,m,klimat,Le climat change.,Klimatet förändras.,,gratisord! klimat-ön öppnad
671,planète,substantiv,f,planet,"Une petite planète, 196 pays.","En liten planet, 196 länder.",,gratisord – och din videosiffra igen
672,guerre,substantiv,f,krig,"La guerre, c'est terrible.",Krig är fruktansvärt.,,här betyder terrible verkligen hemskt; Première Guerre mondiale = första världskriget
673,paix,substantiv,f,fred,"La paix, c'est mieux.",Fred är bättre.,,x tyst [pä]; Laisse-moi en paix ! = Lämna mig ifred!
674,liberté,substantiv,f,frihet,"Liberté, égalité, fraternité !","Frihet, jämlikhet, broderskap!",,Frankrikes motto – tre gratisord på en gång!
675,solution,substantiv,f,lösning,Il y a toujours une solution !,Det finns alltid en lösning!,,GRATIS! optimistfrasen
676,amour,substantiv,m,kärlek,L'amour de ma vie.,Mitt livs kärlek.,,nästan gratis (amour); MASKULINT trots allt romantiskt
677,amoureux / amoureuse,adjektiv,,kär,"Tomber amoureux, c'est facile en France.",Att bli kär är lätt i Frankrike.,,tomber amoureux = falla kär – precis som svenskan!
678,bonheur,substantiv,m,lycka,"Kalle, c'est notre bonheur.",Kalle är vår lycka.,,bon + heur (tur); motsats: le malheur
679,espoir,substantiv,m,hopp,Il y a de l'espoir !,Det finns hopp!,,espérer → espoir
680,mort,substantiv,f,död(en),Ce n'est pas la mort !,Det är inte hela världen!,,idiomguld – ordagrant det är inte döden
681,mourir,verb,,att dö,Je meurs de faim !,Jag är utsvulten!,,ordagrant jag dör av hunger; il est mort = être-dåtid
682,naître,verb,,att födas,Kalle est né en Suède.,Kalle föddes i Sverige.,,né kan du redan (369); la naissance = födelse; être-verb
683,grandir,verb,,att växa,Kalle grandit trop vite !,Kalle växer för fort!,,grand → grandir; adjektiv + -ir = bli-verb: rougir = rodna
684,peser,verb,,att väga,Kalle pèse huit kilos !,Kalle väger åtta kilo!,kilo (m) = kilo – gratisord!,je pèse; le poids = vikten
685,mesurer,verb,,att mäta,Ça mesure deux mètres.,Den är två meter.,mètre (m) = meter – gratisord!,gratisord (mäta upp)!
686,durer,verb,,"att vara, pågå",Ça dure combien de temps ?,Hur länge håller det på?,,combien de temps = hur länge; la durée = längden
687,suffire,verb,,att räcka,Ça suffit !,Det räcker!,,föräldrafras OCH allmän gräns; il suffit de = det räcker att
688,servir,verb,,att servera; tjäna till,Ça sert à quoi ?,Vad är den till för?,,servir à = vara till för; se servir de = använda
689,jeter,verb,,att kasta,On jette ça ?,Ska vi slänga det här?,,jeter un œil = kasta ett öga = ta en titt (samma som svenskan!)
690,lancer,verb,,att kasta; lansera,Je lance un nouveau site !,Jag lanserar en ny sajt!,,gratisord (lansera)! ditt entreprenörsverb
691,attraper,verb,,att fånga,Attrape !,Fånga!,,lekordet; attraper froid = bli förkyld!
692,sourire,verb,,att le,Souriez !,Le mot kameran!,,un sourire = ett leende; Kalle sourit ! = Kalle ler!
693,s'occuper de,verb,,att ta hand om,Je m'occupe de Kalle ce matin.,Jag tar hand om Kalle i förmiddag.,,föräldervardagens verb; Je m'en occupe ! = Jag fixar det!
